lon,lat,price,finished_squarefeet,year_built,date,address,city,state,zip,acres,num_dwellings,class,condition,total_squarefeet,bedrooms,full_baths,half_baths,month,address_city
-123.3144,44.55949,230000,1392,1972,2015-12-10T00:00:00Z,720 SW 55TH ST,CORVALLIS,OR,97333,0.19,1,Dwelling,AV,1968,3,1,1,12,"720 SW 55TH ST, CORVALLIS, OR"
-123.282,44.58215,418500,2042,2009,2015-12-10T00:00:00Z,2753 NW HAYES AVE,CORVALLIS,OR,97330,0.27,1,Dwelling,AV,2548,3,2,0,12,"2753 NW HAYES AVE, CORVALLIS, OR"
-123.2628,44.59148,247000,1012,1959,2015-12-09T00:00:00Z,2320 NW HIGHLAND DR,CORVALLIS,OR,97330,0.22,1,Dwelling,AV,1492,3,1,0,12,"2320 NW HIGHLAND DR, CORVALLIS, OR"
-123.2628,44.59269,225000,1560,1959,2015-12-09T00:00:00Z,2420 NW HIGHLAND DR,CORVALLIS,OR,97330-1544,0.26,1,Dwelling,AV,1920,3,1,0,12,"2420 NW HIGHLAND DR, CORVALLIS, OR"
-123.3042,44.59368,264000,1219,1980,2015-12-08T00:00:00Z,4766 NW AMANDA PL,CORVALLIS,OR,97330-3236,0.22,1,Dwelling,AV,1725,3,1,1,12,"4766 NW AMANDA PL, CORVALLIS, OR"
-123.2686,44.58821,267300,1254,1959,2015-12-08T00:00:00Z,1930 NW 14TH ST,CORVALLIS,OR,97330-2034,0.19,1,Dwelling,G,1588,3,2,0,12,"1930 NW 14TH ST, CORVALLIS, OR"
-123.2562,44.53224,239000,2056,1999,2015-12-07T00:00:00Z,3291 SE MIDVALE DR,CORVALLIS,OR,97333,0.17,1,Mobile Home,AV,2540,0,2,0,12,"3291 SE MIDVALE DR, CORVALLIS, OR"
-123.2867,44.54693,250000,1452,1960,2015-12-04T00:00:00Z,3321 SW WILLAMETTE AVE,CORVALLIS,OR,97333,0.24,1,Dwelling,AV,1884,3,1,1,12,"3321 SW WILLAMETTE AVE, CORVALLIS, OR"
-123.2825,44.5924,10,1568,1969,2015-12-04T00:00:00Z,2550 NW 27TH ST,CORVALLIS,OR,97330-1268,0.2,1,Dwelling,AV,2102,3,2,0,12,"2550 NW 27TH ST, CORVALLIS, OR"
-123.3045,44.59113,370000,2228,1987,2015-12-04T00:00:00Z,2448 NW MASER DR,CORVALLIS,OR,97330,0.2,1,Dwelling,G,2852,4,2,1,12,"2448 NW MASER DR, CORVALLIS, OR"
-123.2632,44.53606,3000,672,1973,2015-12-04T00:00:00Z,300 SE GOODNIGHT AVE SPACE 17,CORVALLIS,OR,97333,0,1,Mobile Home,AV,672,0,1,0,12,"300 SE GOODNIGHT AVE SPACE 17, CORVALLIS, OR"
-123.2612,44.59265,260000,1238,1976,2015-12-03T00:00:00Z,993 NW IRONWOOD AVE,CORVALLIS,OR,97330-1524,0.18,1,Dwelling,G,1744,3,2,0,12,"993 NW IRONWOOD AVE, CORVALLIS, OR"
-123.2703,44.58731,257500,936,1961,2015-12-03T00:00:00Z,1845 NW MENLO DR,CORVALLIS,OR,97330-1950,0.27,1,Dwelling,G,1314,3,2,0,12,"1845 NW MENLO DR, CORVALLIS, OR"
-123.2601,44.53352,255000,1312,2001,2015-12-03T00:00:00Z,3265 SE SUMMERFIELD DR,CORVALLIS,OR,97333,0.14,1,Dwelling,AV,1752,3,2,0,12,"3265 SE SUMMERFIELD DR, CORVALLIS, OR"
-123.3031,44.54181,406000,2125,2006,2015-12-01T00:00:00Z,5009 SW HOLLYHOCK CIR,CORVALLIS,OR,97333,0.13,1,Dwelling,AV,2679,2,2,0,12,"5009 SW HOLLYHOCK CIR, CORVALLIS, OR"
-123.2886,44.57803,220000,988,1950,2015-12-01T00:00:00Z,1119 NW 34TH ST,CORVALLIS,OR,97330,0.15,1,Dwelling,AV,1778,3,1,0,12,"1119 NW 34TH ST, CORVALLIS, OR"
-123.2674,44.5544,4000,470,1958,2015-12-01T00:00:00Z,251 SW MOBILE PL SPACE 6,CORVALLIS,OR,97333,0,1,Mobile Home,F,470,0,1,0,12,"251 SW MOBILE PL SPACE 6, CORVALLIS, OR"
-123.2632,44.53606,1500,800,1970,2015-12-01T00:00:00Z,300 SE GOODNIGHT AVE SPACE 73,CORVALLIS,OR,97333,0,1,Mobile Home,F,800,0,1,0,12,"300 SE GOODNIGHT AVE SPACE 73, CORVALLIS, OR"
-123.2541,44.59506,217000,2668,1963,2015-11-30T00:00:00Z,2710 NW BRYANT ST,CORVALLIS,OR,97330,0.2,1,Dwelling,F,2910,4,2,1,11,"2710 NW BRYANT ST, CORVALLIS, OR"
-123.284,44.58874,207000,1704,1970,2015-11-30T00:00:00Z,2911 NW ASHWOOD DR,CORVALLIS,OR,97330,0.23,1,Dwelling,G,2210,3,2,1,11,"2911 NW ASHWOOD DR, CORVALLIS, OR"
-123.315,44.55096,207117,1680,1994,2015-11-30T00:00:00Z,5565 SW PHILOMATH BLVD,CORVALLIS,OR,97333,2,1,Mobile Home,AV,2256,0,2,0,11,"5565 SW PHILOMATH BLVD, CORVALLIS, OR"
-123.2576,44.54224,206000,1584,1967,2015-11-30T00:00:00Z,940 SE RICHLAND AVE,CORVALLIS,OR,97333,0.21,1,Dwelling,AV,1584,3,2,0,11,"940 SE RICHLAND AVE, CORVALLIS, OR"
-123.2658,44.58978,222000,960,1966,2015-11-30T00:00:00Z,2207 NW DIXON ST,CORVALLIS,OR,97330-1435,0.25,1,Dwelling,AV,1488,3,1,0,11,"2207 NW DIXON ST, CORVALLIS, OR"
-123.2406,44.59618,260000,1260,1967,2015-11-30T00:00:00Z,2807 NE SHERWOOD PL,CORVALLIS,OR,97330-4127,0.25,1,Dwelling,G,1728,3,1,1,11,"2807 NE SHERWOOD PL, CORVALLIS, OR"
-123.284,44.59028,315000,1428,1966,2015-11-25T00:00:00Z,3045 NW ASHWOOD DR,CORVALLIS,OR,97330-1156,0.2,1,Dwelling,G,1888,3,2,0,11,"3045 NW ASHWOOD DR, CORVALLIS, OR"
-123.2883,44.59091,310000,1842,1966,2015-11-25T00:00:00Z,3362 NW ROOSEVELT DR,CORVALLIS,OR,97330,0.3,1,Dwelling,AV,2546,3,2,0,11,"3362 NW ROOSEVELT DR, CORVALLIS, OR"
-123.2954,44.5937,185000,992,1978,2015-11-25T00:00:00Z,2620 NW CHINABERRY PL,CORVALLIS,OR,97330-3310,0.11,1,Dwelling,AV,1452,2,1,0,11,"2620 NW CHINABERRY PL, CORVALLIS, OR"
-123.2851,44.55662,285000,1152,1943,2015-11-25T00:00:00Z,3020 SW WESTERN BLVD,CORVALLIS,OR,97333,0.19,1,Dwelling,G,1422,3,1,0,11,"3020 SW WESTERN BLVD, CORVALLIS, OR"
-123.2551,44.53627,235000,1416,2002,2015-11-25T00:00:00Z,1224 SE SEAPORT CIR,CORVALLIS,OR,97333-3110,0.11,1,Dwelling,AV,1876,3,2,0,11,"1224 SE SEAPORT CIR, CORVALLIS, OR"
-123.2693,44.59483,360000,2424,1991,2015-11-25T00:00:00Z,1522 NW JONQUIL PL,CORVALLIS,OR,97330-3637,0.12,1,Dwelling,G,2864,4,3,0,11,"1522 NW JONQUIL PL, CORVALLIS, OR"
-123.2756,44.57119,196500,788,1924,2015-11-25T00:00:00Z,2020 NW HARRISON BLVD,CORVALLIS,OR,97330,0.1,1,Dwelling,G,788,2,1,0,11,"2020 NW HARRISON BLVD, CORVALLIS, OR"
-123.2612,44.5365,204000,1110,1959,2015-11-25T00:00:00Z,630 SE GOODNIGHT AVE,CORVALLIS,OR,97333,0.19,1,Dwelling,AV,1326,2,1,0,11,"630 SE GOODNIGHT AVE, CORVALLIS, OR"
-123.2454,44.60005,20000,800,1967,2015-11-25T00:00:00Z,277 NE CONIFER BLVD SPACE 68,CORVALLIS,OR,97330-4143,0,1,Mobile Home,G,800,0,1,0,11,"277 NE CONIFER BLVD SPACE 68, CORVALLIS, OR"
-123.2915,44.59454,328500,1676,1975,2015-11-24T00:00:00Z,2842 NW MONTEREY PL,CORVALLIS,OR,97330-3436,0.2,1,Dwelling,AV,2076,3,2,0,11,"2842 NW MONTEREY PL, CORVALLIS, OR"
-123.2463,44.59462,69000,1404,1994,2015-11-24T00:00:00Z,2601 NE JACK LONDON ST SPACE 5,CORVALLIS,OR,97330,0,1,Mobile Home,G,1716,0,2,0,11,"2601 NE JACK LONDON ST SPACE 5, CORVALLIS, OR"
-123.2674,44.58325,235000,1255,1959,2015-11-23T00:00:00Z,1311 NW GARFIELD AVE,CORVALLIS,OR,97330,0.23,1,Dwelling,AV,1696,3,1,1,11,"1311 NW GARFIELD AVE, CORVALLIS, OR"
-123.2586,44.56893,334324,0,1960,2015-11-23T00:00:00Z,532 TO 544 NW 3RD ST,CORVALLIS,OR,97330,0.46,0,Commercial,AV,10654,0,0,0,11,"532 TO 544 NW 3RD ST, CORVALLIS, OR"
-123.2558,44.59909,410763,1905,2015,2015-11-23T00:00:00Z,644 NW MIRADOR PL,CORVALLIS,OR,97330,0.18,1,Dwelling,AV,2515,2,2,0,11,"644 NW MIRADOR PL, CORVALLIS, OR"
-123.2639,44.58272,72000,1350,1955,2015-11-23T00:00:00Z,1540 NW 11TH ST,CORVALLIS,OR,97330,0.19,1,Dwelling,AV,1350,3,1,0,11,"1540 NW 11TH ST, CORVALLIS, OR"
-123.269,44.58801,315000,1347,1960,2015-11-20T00:00:00Z,1947 NW GARRYANNA ST,CORVALLIS,OR,97330-2006,0.19,1,Dwelling,G,1881,3,1,1,11,"1947 NW GARRYANNA ST, CORVALLIS, OR"
-123.2204,44.60185,71000,2128,1977,2015-11-20T00:00:00Z,4148 NE ASBAHR PL,CORVALLIS,OR,97330,0.74,1,Dwelling,G,2656,5,3,0,11,"4148 NE ASBAHR PL, CORVALLIS, OR"
-123.2753,44.57117,1,1170,1931,2015-11-20T00:00:00Z,2004 NW HARRISON BLVD,CORVALLIS,OR,97330,0.11,1,Dwelling,AV,1846,4,2,0,11,"2004 NW HARRISON BLVD, CORVALLIS, OR"
-123.2741,44.57089,1,2360,1930,2015-11-20T00:00:00Z,1752 NW HARRISON BLVD,CORVALLIS,OR,97330,0.06,1,Dwelling,AV,2540,6,2,0,11,"1752 NW HARRISON BLVD, CORVALLIS, OR"
-123.2743,44.57096,1,2057,1930,2015-11-20T00:00:00Z,1762 NW HARRISON BLVD,CORVALLIS,OR,97330,0.06,1,Dwelling,AV,2375,6,2,0,11,"1762 NW HARRISON BLVD, CORVALLIS, OR"
-123.2697,44.5571,1,2508,1991,2015-11-20T00:00:00Z,1002 SW E AVE,CORVALLIS,OR,97333,0.12,1,Dwelling,AV,2948,4,2,0,11,"1002 SW E AVE, CORVALLIS, OR"
-123.2858,44.54874,222000,1533,1979,2015-11-20T00:00:00Z,3283 SW KNOLLBROOK AVE,CORVALLIS,OR,97333,0.19,1,Dwelling,AV,2017,3,2,0,11,"3283 SW KNOLLBROOK AVE, CORVALLIS, OR"
-123.2779,44.58386,328000,3041,1957,2015-11-19T00:00:00Z,1620 NW 23RD ST,CORVALLIS,OR,97330-1957,0.25,1,Dwelling,AV,3478,4,2,0,11,"1620 NW 23RD ST, CORVALLIS, OR"
-123.2562,44.54123,280000,1304,1967,2015-11-18T00:00:00Z,2560 SE CRYSTAL LAKE DR,CORVALLIS,OR,97333,1.21,1,Dwelling,AV,1724,2,1,0,11,"2560 SE CRYSTAL LAKE DR, CORVALLIS, OR"
-123.2454,44.60005,42000,1792,1977,2015-11-18T00:00:00Z,277 NE CONIFER BLVD SPACE 54,CORVALLIS,OR,97330,0,1,Mobile Home,G,1792,0,2,0,11,"277 NE CONIFER BLVD SPACE 54, CORVALLIS, OR"
-123.2463,44.59462,49900,1056,1995,2015-11-18T00:00:00Z,2601 NE JACK LONDON ST SPACE 37,CORVALLIS,OR,97330,0,1,Mobile Home,G,1368,0,2,0,11,"2601 NE JACK LONDON ST SPACE 37, CORVALLIS, OR"
-123.2862,44.542,137500,0,NA,2015-11-17T00:00:00Z,3211 SW HAWKEYE AVE,CORVALLIS,OR,97333,0.36,0,"NA",0,0,0,0,0,11,"3211 SW HAWKEYE AVE, CORVALLIS, OR"
-123.2665,44.5591,161774,1046,2014,2015-11-17T00:00:00Z,548 SW B AVE,CORVALLIS,OR,97333,0.06,1,Dwelling,AV,1046,3,2,0,11,"548 SW B AVE, CORVALLIS, OR"
-123.2665,44.55909,161774,1046,2014,2015-11-17T00:00:00Z,546 SW B AVE,CORVALLIS,OR,97333,0.07,1,Dwelling,AV,1046,4,2,0,11,"546 SW B AVE, CORVALLIS, OR"
-123.2523,44.59218,1200000,0,1965,2015-11-17T00:00:00Z,2475 NW 9TH ST,CORVALLIS,OR,97330,0.55,0,Commercial,AV,5701,0,0,0,11,"2475 NW 9TH ST, CORVALLIS, OR"
-123.2523,44.59218,1200000,0,NA,2015-11-17T00:00:00Z,2475 NW 9TH ST,CORVALLIS,OR,97330,0.61,0,"NA",0,0,0,0,0,11,"2475 NW 9TH ST, CORVALLIS, OR"
-123.315,44.55096,207117,1680,1994,2015-11-17T00:00:00Z,5565 SW PHILOMATH BLVD,CORVALLIS,OR,97333,0,1,Mobile Home,AV,1680,0,2,0,11,"5565 SW PHILOMATH BLVD, CORVALLIS, OR"
-123.2854,44.57133,289000,1018,1922,2015-11-16T00:00:00Z,329 NW 31ST ST,CORVALLIS,OR,97330,0.11,1,Dwelling,G,1668,2,1,0,11,"329 NW 31ST ST, CORVALLIS, OR"
-123.259,44.58966,1870000,0,1970,2015-11-16T00:00:00Z,958 NW SYCAMORE AVE,CORVALLIS,OR,97330,1.24,0,Commercial,AV,32340,0,0,0,11,"958 NW SYCAMORE AVE, CORVALLIS, OR"
-123.2571,44.60142,420000,2088,2013,2015-11-16T00:00:00Z,3534 NW VERACRUZ PL,CORVALLIS,OR,97330,0.22,1,Dwelling,AV,2580,3,2,0,11,"3534 NW VERACRUZ PL, CORVALLIS, OR"
-123.2645,44.56034,225000,0,1965,2015-11-16T00:00:00Z,520 SW 4TH ST,CORVALLIS,OR,97333,0.12,0,Commercial,AV,1843,0,0,0,11,"520 SW 4TH ST, CORVALLIS, OR"
-123.2454,44.60005,24900,1100,1968,2015-11-16T00:00:00Z,277 NE CONIFER BLVD SPACE 7,CORVALLIS,OR,97330-4136,0,1,Mobile Home,G,1100,0,2,0,11,"277 NE CONIFER BLVD SPACE 7, CORVALLIS, OR"
-123.2454,44.60005,24900,1100,1968,2015-11-16T00:00:00Z,277 NE CONIFER BLVD SPACE 7,CORVALLIS,OR,97330-4136,0,1,Mobile Home,G,1100,0,2,0,11,"277 NE CONIFER BLVD SPACE 7, CORVALLIS, OR"
-123.2702,44.57696,345000,1432,1949,2015-11-12T00:00:00Z,1140 NW 16TH ST,CORVALLIS,OR,97330-2609,0.19,1,Dwelling,G,1792,3,2,0,11,"1140 NW 16TH ST, CORVALLIS, OR"
-123.2653,44.53848,223000,1180,1978,2015-11-12T00:00:00Z,2807 SE GLENN ST,CORVALLIS,OR,97333,0.14,1,Dwelling,G,1656,3,1,0,11,"2807 SE GLENN ST, CORVALLIS, OR"
-123.2808,44.58277,225000,1917,1959,2015-11-12T00:00:00Z,1545 NW 27TH ST,CORVALLIS,OR,97330-2448,0.22,1,Dwelling,AV,2057,3,1,1,11,"1545 NW 27TH ST, CORVALLIS, OR"
-123.2632,44.53606,7000,960,1980,2015-11-10T00:00:00Z,300 SE GOODNIGHT AVE SPACE 5,CORVALLIS,OR,97333-2163,0,1,Mobile Home,F,960,0,2,0,11,"300 SE GOODNIGHT AVE SPACE 5, CORVALLIS, OR"
-123.3095,44.59483,359000,2020,2003,2015-11-09T00:00:00Z,4915 NW LAVENDER CIR,CORVALLIS,OR,97330,0.08,1,Dwelling,AV,2420,3,2,1,11,"4915 NW LAVENDER CIR, CORVALLIS, OR"
-123.2702,44.57186,269000,1889,1922,2015-11-06T00:00:00Z,540 NW 14TH ST,CORVALLIS,OR,97330,0.11,1,Dwelling,AV,3041,4,2,0,11,"540 NW 14TH ST, CORVALLIS, OR"
-123.2674,44.59179,230000,1160,1966,2015-11-06T00:00:00Z,2340 NW 13TH ST,CORVALLIS,OR,97330-1432,0.21,1,Dwelling,AV,1820,3,1,1,11,"2340 NW 13TH ST, CORVALLIS, OR"
-123.3083,44.55496,206800,1176,1962,2015-11-06T00:00:00Z,1140 SW GEROLD ST,CORVALLIS,OR,97333,0.14,1,Dwelling,AV,1176,2,1,0,11,"1140 SW GEROLD ST, CORVALLIS, OR"
-123.3022,44.54531,385000,2089,2003,2015-11-05T00:00:00Z,4618 SW 47TH PL,CORVALLIS,OR,97333,0.13,1,Dwelling,AV,2605,3,2,1,11,"4618 SW 47TH PL, CORVALLIS, OR"
-123.2862,44.542,162000,0,NA,2015-11-05T00:00:00Z,3427 SW HAWKEYE AVE,CORVALLIS,OR,97333,0.37,0,"NA",0,0,0,0,0,11,"3427 SW HAWKEYE AVE, CORVALLIS, OR"
-123.2669,44.55799,185000,1508,1916,2015-11-05T00:00:00Z,804 SW 5TH ST,CORVALLIS,OR,97333,0.12,1,Dwelling,AV,1508,4,2,0,11,"804 SW 5TH ST, CORVALLIS, OR"
-123.2576,44.59627,259900,1474,1994,2015-11-04T00:00:00Z,848 NW SUNDANCE CIR,CORVALLIS,OR,97330,0.11,1,Dwelling,AV,1874,3,2,0,11,"848 NW SUNDANCE CIR, CORVALLIS, OR"
-123.2553,44.54647,293000,1300,2007,2015-11-04T00:00:00Z,1975 SE CRYSTAL LAKE DR BLDG 9 UNIT 191,CORVALLIS,OR,97333,0.03,1,Dwelling,AV,1300,3,2,0,11,"1975 SE CRYSTAL LAKE DR BLDG 9 UNIT 191, CORVALLIS, OR"
-123.2675,44.5977,209000,1130,1980,2015-11-04T00:00:00Z,2960 NW 13TH PL,CORVALLIS,OR,97330,0.09,1,Dwelling,AV,1466,2,2,0,11,"2960 NW 13TH PL, CORVALLIS, OR"
-123.269,44.58821,230000,960,1960,2015-11-04T00:00:00Z,1955 NW GARRYANNA ST,CORVALLIS,OR,97330,0.18,1,Dwelling,AV,1338,3,1,1,11,"1955 NW GARRYANNA ST, CORVALLIS, OR"
